District;Archive/Bibliotheken ;Berliner Landesmuseen;Bildende Kunst;Bühnen und Theater;Förderung;Gedenkstätten;Literatur und Kino;Opern und Chöre;Preußische Schlösser & Gärten;Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz
Charlottenburg-Wilmersdorf;0;77316,75;0;218946,6667;71898;0;25112;333627,5;0;59000
Friedrichshain-Kreuzberg;2622996;323713;47062;79685,62501;3653,166667;1502323;149775,5;534929;0;382222,2222
Marzahn-Hellersdorf;0;0;0;0;11216;0;0;0;0;0
Pankow;0;0;0;0;8403;0;0;0;0;0
Reinickendorf;27799;0;0;0;6978;0;0;0;0;0
Steglitz-Zehlendorf;0;0;0;115960;0;218909;20513,00001;0;144502,5;0
Mitte;0;0;149536;275578;8649;1900000;37210,25;392942,25;0;583640,25
Neukölln;0;0;0;45971;25324;0;0;0;0;0
Lichtenberg;0;0;0;181855;14847;814796;0;0;0;0
Tempelhof-Schöneberg;0;0;0;0;52232;0;70311;0;0;0
Treptow-Köpenick;0;0;0;0;1018;17372;0;0;0;33000
Grand Total;1325397,5;234114,3636;65532,66667;177520,5769;10855,78571;992620,5;62703,11111;396279;57801;335753,3889